"MCMRT Number","Compound Name","IUPAC Name",Formula,"CAS Number","Pubchem Number",Isomeric SMILES,InChI,Retention Factor (k),RT (min),RSD
14,Recinine,4-methoxy-1-methyl-2-oxopyridine-3-carbonitrile,C8H8N2O2,524-40-3,10666,CN1C=CC(=C(C1=O)C#N)OC,"InChI=1S/C8H8N2O2/c1-10-4-3-7(12-2)6(5-9)8(10)11/h3-4H,1-2H3",2.20,4.07 ,0.28%
15,Pyridoxine,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",C8H11NO3,65-23-6,1054,CC1=NC=C(C(=C1O)CO)CO,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",0.50,1.90 ,1.69%
16,Pencillic acid,"(2E)-3-methoxy-5-methyl-4-oxohexa-2,5-dienoic acid",C8H10O4,90-65-3,5385314,CC(=C)C(=O)/C(=C\C(=O)O)/OC,"InChI=1S/C8H10O4/c1-5(2)8(11)6(12-3)4-7(9)10/h4H,1H2,2-3H3,(H,9,10)/b6-4+",2.87,4.92 ,0.14%
17,Metronidazole ,2-(2-methyl-5-nitroimidazol-1-yl)ethanol,C6H9N3O3,443-48-1,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",2.25,4.13 ,0.34%
18,Triethyl phosphate,triethyl phosphate,C6H15O4P,78-40-0,6535,CCOP(=O)(OCC)OCC,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",3.66,5.92 ,0.28%
19,Acephate ,N-[methoxy(methylsulfanyl)phosphoryl]acetamide,C4H10NO3PS,30560-19-1,1982,CC(=O)NP(=O)(OC)SC,"InChI=1S/C4H10NO3PS/c1-4(6)5-9(7,8-2)10-3/h1-3H3,(H,5,6,7)",1.65,3.36 ,1.81%
20,Sulfamylon,4-(aminomethyl)benzenesulfonamide,C7H10N2O2S,138-39-6,3998,C1=CC(=CC=C1CN)S(=O)(=O)N,"InChI=1S/C7H10N2O2S/c8-5-6-1-3-7(4-2-6)12(9,10)11/h1-4H,5,8H2,(H2,9,10,11)",0.07,1.36 ,2.36%
21,Molinate ,S-ethyl azepane-1-carbothioate,C9H17NOS,2212-67-1,16653,CCSC(=O)N1CCCCCC1,"InChI=1S/C9H17NOS/c1-2-12-9(11)10-7-5-3-4-6-8-10/h2-8H2,1H3",4.95,7.56 ,0.09%
22,Atrazine-desethyl ,"6-chloro-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",C6H10ClN5,6190-65-4,22563,CC(C)NC1=NC(=NC(=N1)N)Cl,"InChI=1S/C6H10ClN5/c1-3(2)9-6-11-4(7)10-5(8)12-6/h3H,1-2H3,(H3,8,9,10,11,12)",3.49,5.70 ,0.25%
23,Isoprocarb ,(2-propan-2-ylphenyl) N-methylcarbamate,C11H15NO2,2631-40-5,17517,CC(C)C1=CC=CC=C1OC(=O)NC,"InChI=1S/C11H15NO2/c1-8(2)9-6-4-5-7-10(9)14-11(13)12-3/h4-8H,1-3H3,(H,12,13)",4.31,6.74 ,0.21%
25,3-Amino-5-morpholinomethyl-2-oxazolidinone,"3-amino-5-(morpholin-4-ylmethyl)-1,3-oxazolidin-2-one",C8H15N3O3,43056-63-9,3016406,C1COCCN1CC2CN(C(=O)O2)N,"InChI=1S/C8H15N3O3/c9-11-6-7(14-8(11)12)5-10-1-3-13-4-2-10/h7H,1-6,9H2",0.00,1.27 ,1.11%
26,Thiabendazole ,"4-(1H-benzimidazol-2-yl)-1,3-thiazole",C10H7N3S,148-79-8,5430,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,"InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)",3.73,6.01 ,0.19%
28,(2E)-2-(2-Nitrobenzylidene)hydrazinecarboxamide,[(Z)-(2-nitrophenyl)methylideneamino]urea,C8H8N4O3,16004-43-6,5397522,C1=CC=C(C(=C1)/C=N/NC(=O)N)[N+](=O)[O-],"InChI=1S/C8H8N4O3/c9-8(13)11-10-5-6-3-1-2-4-7(6)12(14)15/h1-5H,(H3,9,11,13)/b10-5-",3.32,5.49 ,0.39%
29,Propoxur ,(2-propan-2-yloxyphenyl) N-methylcarbamate,C11H15NO3,114-26-1,4944,CC(C)OC1=CC=CC=C1OC(=O)NC,"InChI=1S/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)",3.94,6.27 ,0.34%
30,Ethirimol,5-butyl-2-(ethylamino)-4-methyl-1H-pyrimidin-6-one,C11H19N3O,23947-60-6,135424354,CCCCC1=C(N=C(NC1=O)NCC)C,"InChI=1S/C11H19N3O/c1-4-6-7-9-8(3)13-11(12-5-2)14-10(9)15/h4-7H2,1-3H3,(H2,12,13,14,15)",4.33,6.77 ,0.17%
31,Perfluorobutanoic acid,"2,2,3,3,4,4,4-heptafluorobutanoic acid",C4HF7O2,375-22-4,9777,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,"InChI=1S/C4HF7O2/c5-2(6,1(12)13)3(7,8)4(9,10)11/h(H,12,13)",3.05,5.14 ,0.48%
32,Sulfacetamide ,N-(4-aminophenyl)sulfonylacetamide,C8H10N2O3S,144-80-9,5320,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,"InChI=1S/C8H10N2O3S/c1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)",1.85,3.62 ,0.39%
33,Sulfaguanidine ,2-(4-aminophenyl)sulfonylguanidine,C7H10N4O2S,57-67-0,5324,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,"InChI=1S/C7H10N4O2S/c8-5-1-3-6(4-2-5)14(12,13)11-7(9)10/h1-4H,8H2,(H4,9,10,11)",0.37,1.74 ,0.41%
34,Metribuzin ,"4-amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one",C8H14N4OS,21087-64-9,30479,CC(C)(C)C1=NN=C(N(C1=O)N)SC,"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3",4.06,6.42 ,0.22%
35,Cycloate ,S-ethyl N-cyclohexyl-N-ethylcarbamothioate,C11H21NOS,1134-23-2,14337,CCN(C1CCCCC1)C(=O)SCC,"InChI=1S/C11H21NOS/c1-3-12(11(13)14-4-2)10-8-6-5-7-9-10/h10H,3-9H2,1-2H3",5.44,8.18 ,0.17%
36,Mequindox ,1-(3-methyl-4-oxido-1-oxoquinoxalin-1-ium-2-yl)ethanone,C11H10N2O3,13297-17-1,404291,CC1=C([N+](=O)C2=CC=CC=C2N1[O-])C(=O)C,"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",2.91,4.96 ,0.43%
37,Pantothenic Acid,"3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid",C9H17NO5,79-83-4,6613,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1",1.91,3.70 ,0.41%
39,Dichlorvos ,"2,2-dichloroethenyl dimethyl phosphate",C4H7Cl2O4P,62-73-7,3039,COP(=O)(OC)OC=C(Cl)Cl,"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3",3.90,6.22 ,0.23%
40,Monocrotophos ,dimethyl [(E)-4-(methylamino)-4-oxobut-2-en-2-yl] phosphate,C7H14NO5P,6923-22-4,5371562,C/C(=C\C(=O)NC)/OP(=O)(OC)OC ,"InChI=1S/C7H14NO5P/c1-6(5-7(9)8-2)13-14(10,11-3)12-4/h5H,1-4H3,(H,8,9)/b6-5+",2.66,4.65 ,0.00%
41,Mepanipyrim ,4-methyl-N-phenyl-6-prop-1-ynylpyrimidin-2-amine,C14H13N3,110235-47-7,86296,CC#CC1=NC(=NC(=C1)C)NC2=CC=CC=C2,"InChI=1S/C14H13N3/c1-3-7-13-10-11(2)15-14(17-13)16-12-8-5-4-6-9-12/h4-6,8-10H,1-2H3,(H,15,16,17)",4.91,7.51 ,0.09%
42,Mevinphos,methyl (E)-3-dimethoxyphosphoryloxybut-2-enoate,C7H13O6P,7786-34-7,5355863,C/C(=C\C(=O)OC)/OP(=O)(OC)OC,"InChI=1S/C7H13O6P/c1-6(5-7(8)10-2)13-14(9,11-3)12-4/h5H,1-4H3/b6-5+",3.15,5.27 ,0.29%
43,Tripropyl phosphate,tripropyl phosphate,C9H21O4P,513-08-6,10546,CCCOP(=O)(OCCC)OCCC,"InChI=1S/C9H21O4P/c1-4-7-11-14(10,12-8-5-2)13-9-6-3/h4-9H2,1-3H3",4.57,7.07 ,0.20%
44,Triisopropyl phosphate,tripropan-2-yl phosphate,C9H21O4P,513-02-0,68188,CC(C)OP(=O)(OC(C)C)OC(C)C,"InChI=1S/C9H21O4P/c1-7(2)11-14(10,12-8(3)4)13-9(5)6/h7-9H,1-6H3",4.67,7.20 ,0.78%
46,Dimethoate ,2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide,C5H12NO3PS2,60-51-5,3082,CNC(=O)CSP(=S)(OC)OC,"InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)",3.24,5.38 ,0.39%
47,Propazine ,"6-chloro-2-N,4-N-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",C9H16ClN5,139-40-2,4937,CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C,"InChI=1S/C9H16ClN5/c1-5(2)11-8-13-7(10)14-9(15-8)12-6(3)4/h5-6H,1-4H3,(H2,11,12,13,14,15)",4.69,7.23 ,0.20%
48,PF4OPeA,"2,2,3,3-tetrafluoro-3-(trifluoromethoxy)propanoic acid",C4HF7O3,377-73-1,120228,C(=O)(C(C(OC(F)(F)F)(F)F)(F)F)O,"InChI=1S/C4HF7O3/c5-2(6,1(12)13)3(7,8)14-4(9,10)11/h(H,12,13)",3.31,5.47 ,0.39%
49,Nalidixic acid ,"1-ethyl-7-methyl-4-oxo-1,8-naphthyridine-3-carboxylic acid",C12H12N2O3,389-08-2,4421,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,"InChI=1S/C12H12N2O3/c1-3-14-6-9(12(16)17)10(15)8-5-4-7(2)13-11(8)14/h4-6H,3H2,1-2H3,(H,16,17)",4.03,6.39 ,0.28%
50,2-NP-AOZ,"3-[(Z)-(2-nitrophenyl)methylideneamino]-1,3-oxazolidin-2-one",C10H9N3O4,19687-73-1,6445042,C1COC(=O)N1/N=C/C2=CC=CC=C2[N+](=O)[O-],"InChI=1S/C10H9N3O4/c14-10-12(5-6-17-10)11-7-8-3-1-2-4-9(8)13(15)16/h1-4,7H,5-6H2/b11-7-",3.30,5.46 ,0.57%
51,Carbamazepine,benzo[b][1]benzazepine-11-carboxamide,C15H12N2O,298-46-4,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)",4.11,6.49 ,0.26%
52,Pirimicarb ,"[2-(dimethylamino)-5,6-dimethylpyrimidin-4-yl] N,N-dimethylcarbamate",C11H18N4O2,23103-98-2,31645,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,InChI=1S/C11H18N4O2/c1-7-8(2)12-10(14(3)4)13-9(7)17-11(16)15(5)6/h1-6H3,4.27,6.69 ,0.11%
53,Salbutamol,4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,C13H21NO3,18559-94-9,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",1.66,3.38 ,0.21%
54,Methacrifos ,methyl (E)-3-dimethoxyphosphinothioyloxy-2-methylprop-2-enoate,C7H13O5PS,62610-77-9,3034435,C/C(=C\OP(=S)(OC)OC)/C(=O)OC,"InChI=1S/C7H13O5PS/c1-6(7(8)9-2)5-12-13(14,10-3)11-4/h5H,1-4H3/b6-5+",4.47,6.95 ,0.41%
55,Bentazone,"2,2-dioxo-3-propan-2-yl-1H-2lambda6,1,3-benzothiadiazin-4-one",C10H12N2O3S,25057-89-0,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,"InChI=1S/C10H12N2O3S/c1-7(2)12-10(13)8-5-3-4-6-9(8)11-16(12,14)15/h3-7,11H,1-2H3",3.24,5.39 ,0.11%
57,Ethoprophos ,1-[ethoxy(propylsulfanyl)phosphoryl]sulfanylpropane,C8H19O2PS2,13194-48-4,3289,CCCSP(=O)(OCC)SCCC,"InChI=1S/C8H19O2PS2/c1-4-7-12-11(9,10-6-3)13-8-5-2/h4-8H2,1-3H3",4.95,7.56 ,0.09%
58,Biotin,"5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoic acid",C10H16N2O3S,58-85-5,171548,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1",2.76,4.78 ,0.21%
59,Fonofos ,ethoxy-ethyl-phenylsulfanyl-sulfanylidene-lambda5-phosphane,C10H15OPS2,944-22-9,13676,CCOP(=S)(CC)SC1=CC=CC=C1,"InChI=1S/C10H15OPS2/c1-3-11-12(13,4-2)14-10-8-6-5-7-9-10/h5-9H,3-4H2,1-2H3",5.17,7.84 ,0.00%
60,Paraoxon-methyl ,dimethyl (4-nitrophenyl) phosphate,C8H10NO6P,950-35-6,13708,COP(=O)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],"InChI=1S/C8H10NO6P/c1-13-16(12,14-2)15-8-5-3-7(4-6-8)9(10)11/h3-6H,1-2H3",3.69,5.95 ,0.12%
61,2-NP-AHD,"1-[(Z)-(2-nitrophenyl)methylideneamino]imidazolidine-2,4-dione",C10H8N4O4,623145-57-3,7018038,C1C(=O)NC(=O)N1/N=C/C2=CC=CC=C2[N+](=O)[O-],"InChI=1S/C10H8N4O4/c15-9-6-13(10(16)12-9)11-5-7-3-1-2-4-8(7)14(17)18/h1-5H,6H2,(H,12,15,16)/b11-5-",3.24,5.38 ,0.39%
62,Sulfapyridine ,4-amino-N-pyridin-2-ylbenzenesulfonamide,C11H11N3O2S,144-83-2,5336,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C11H11N3O2S/c12-9-4-6-10(7-5-9)17(15,16)14-11-3-1-2-8-13-11/h1-8H,12H2,(H,13,14)",2.31,4.20 ,0.97%
63,PFPrS,"1,1,2,2,3,3,3-heptafluoropropane-1-sulfonic acid",C3HF7O3S,423-41-6,9859771,C(C(F)(F)F)(C(F)(F)S(=O)(=O)O)(F)F,"InChI=1S/C3HF7O3S/c4-1(5,2(6,7)8)3(9,10)14(11,12)13/h(H,11,12,13)",3.20,5.33 ,0.53%
64,(-)-Citrinin,"(3R,4S)-6-hydroxy-3,4,5-trimethyl-8-oxo-3,4-dihydroisochromene-7-carboxylic acid",C13H14O5,518-75-2,54680783,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,"InChI=1S/C13H14O5/c1-5-7(3)18-4-8-9(5)6(2)11(14)10(12(8)15)13(16)17/h4-5,7,14H,1-3H3,(H,16,17)/t5-,7-/m1/s1",3.89,6.21 ,2.01%
65,Bisphenol S,4-(4-hydroxyphenyl)sulfonylphenol,C12H10O4S,80-09-1,6626,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,"InChI=1S/C12H10O4S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8,13-14H",3.24,5.39 ,0.11%
66,Sulfadiazine ,4-amino-N-pyrimidin-2-ylbenzenesulfonamide,C10H10N4O2S,68-35-9,5215,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",2.14,3.99 ,0.53%
67,Hexazinone ,"3-cyclohexyl-6-(dimethylamino)-1-methyl-1,3,5-triazine-2,4-dione",C12H20N4O2,51235-04-2,39965,CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C,"InChI=1S/C12H20N4O2/c1-14(2)10-13-11(17)16(12(18)15(10)3)9-7-5-4-6-8-9/h9H,4-8H2,1-3H3",4.04,6.40 ,0.22%
68,Sulfamethoxazole,"4-amino-N-(5-methyl-1,2-oxazol-3-yl)benzenesulfonamide",C10H11N3O3S , 723-46-6,5329 ,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N," InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",2.82,4.85 ,0.15%
69,Fenothiocarb ,"S-(4-phenoxybutyl) N,N-dimethylcarbamothioate",C13H19NO2S,62850-32-2,44178,CN(C)C(=O)SCCCCOC1=CC=CC=C1,"InChI=1S/C13H19NO2S/c1-14(2)13(15)17-11-7-6-10-16-12-8-4-3-5-9-12/h3-5,8-9H,6-7,10-11H2,1-2H3",5.06,7.69 ,0.18%
70,Sulfathiazole ,"4-amino-N-(1,3-thiazol-2-yl)benzenesulfonamide",C9H9N3O2S2,72-14-0,5340,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,"InChI=1S/C9H9N3O2S2/c10-7-1-3-8(4-2-7)16(13,14)12-9-11-5-6-15-9/h1-6H,10H2,(H,11,12)",2.22,4.09 ,0.52%
71,Formothion ,2-dimethoxyphosphinothioylsulfanyl-N-formyl-N-methylacetamide,C6H12NO4PS2,2540-82-1,17345,CN(C=O)C(=O)CSP(=S)(OC)OC,"InChI=1S/C6H12NO4PS2/c1-7(5-8)6(9)4-14-12(13,10-2)11-3/h5H,4H2,1-3H3",3.78,6.07 ,0.12%
72,Thiobencarb ,"S-[(4-chlorophenyl)methyl] N,N-diethylcarbamothioate",C12H16ClNOS ,28249-77-6,34192,CCN(CC)C(=O)SCC1=CC=C(C=C1)Cl,"InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-5-7-11(13)8-6-10/h5-8H,3-4,9H2,1-2H3",5.27,7.96 ,0.18%
73,Alternariol,"3,7,9-trihydroxy-1-methylbenzo[c]chromen-6-one",C14H10O5,641-38-3,5359485,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)O)O)C(=O)O2)O,"InChI=1S/C14H10O5/c1-6-2-7(15)5-11-12(6)9-3-8(16)4-10(17)13(9)14(18)19-11/h2-5,15-17H,1H3",4.46,6.93 ,0.20%
74,Metobromuron,3-(4-bromophenyl)-1-methoxy-1-methylurea,C9H11BrN2O2,3060-89-7,18290,CN(C(=O)NC1=CC=C(C=C1)Br)OC,"InChI=1S/C9H11BrN2O2/c1-12(14-2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)",4.35,6.80 ,0.22%
75,Bromacil ,"5-bromo-3-butan-2-yl-6-methyl-1H-pyrimidine-2,4-dione",C9H13BrN2O2,314-40-9,9411,CCC(C)N1C(=O)C(=C(NC1=O)C)Br,"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)",4.05,6.41 ,0.44%
76,Oxolinic acid ,"5-ethyl-8-oxo-[1,3]dioxolo[4,5-g]quinoline-7-carboxylic acid",C13H11NO5,14698-29-4,4628,CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O,"InChI=1S/C13H11NO5/c1-2-14-5-8(13(16)17)12(15)7-3-10-11(4-9(7)14)19-6-18-10/h3-5H,2,6H2,1H3,(H,16,17)",3.60,5.84 ,0.39%
77,Flumequine ,"7-fluoro-12-methyl-4-oxo-1-azatricyclo[7.3.1.05,13]trideca-2,5,7,9(13)-tetraene-3-carboxylic acid",C14H12FNO3, 42835-25-6,3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,"InChI=1S/C14H12FNO3/c1-7-2-3-8-4-9(15)5-10-12(8)16(7)6-11(13(10)17)14(18)19/h4-7H,2-3H2,1H3,(H,18,19)",4.11,6.49 ,0.26%
78,Cinoxacin ,"1-ethyl-4-oxo-[1,3]dioxolo[4,5-g]cinnoline-3-carboxylic acid",C12H10N2O5,28657-80-9,2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,"InChI=1S/C12H10N2O5/c1-2-14-7-4-9-8(18-5-19-9)3-6(7)11(15)10(13-14)12(16)17/h3-4H,2,5H2,1H3,(H,16,17)",3.36,5.54 ,0.60%
79,Carbadox ,"methyl N-[(Z)-(1,4-dioxidoquinoxaline-1,4-diium-2-yl)methylideneamino]carbamate",C11H10N4O4, 6804-07-5,136662877,COC(=O)N/N=C/C1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-],"InChI=1S/C11H10N4O4/c1-19-11(16)13-12-6-8-7-14(17)9-4-2-3-5-10(9)15(8)18/h2-7H,1H3,(H,13,16)/b12-6-",3.00,5.08 ,0.28%
80,Perfluoropentanoic acid,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",C5HF9O2,2706-90-3,75921,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C5HF9O2/c6-2(7,1(15)16)3(8,9)4(10,11)5(12,13)14/h(H,15,16)",3.66,5.92 ,0.12%
81,Sulfamerazine ,4-amino-N-(4-methylpyrimidin-2-yl)benzenesulfonamide,C11H12N4O2S,127-79-7,5325,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C11H12N4O2S/c1-8-6-7-13-11(14-8)15-18(16,17)10-4-2-9(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15)",2.39,4.30 ,1.02%
82,Aclonifen,2-chloro-6-nitro-3-phenoxyaniline,C12H9ClN2O3,74070-46-5,92389,C1=CC=C(C=C1)OC2=C(C(=C(C=C2)[N+](=O)[O-])N)Cl,"InChI=1S/C12H9ClN2O3/c13-11-10(18-8-4-2-1-3-5-8)7-6-9(12(11)14)15(16)17/h1-7H,14H2",5.09,7.73 ,0.46%
83,Dienestrol,"4-[(2E,4E)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol",C18H18O2,84-17-3,667476,C/C=C(/C(=C/C)/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)O,"InChI=1S/C18H18O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h3-12,19-20H,1-2H3/b17-3+,18-4+",4.64,7.16 ,0.21%
84,Tributyl phosphate,tributyl phosphate,C12H27O4P,126-73-8,31357,CCCCOP(=O)(OCCCC)OCCCC,"InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3",5.31,8.01 ,0.15%
85,Triisobutyl phosphate,tris(2-methylpropyl) phosphate,C12H27O4P,126-71-6,31355,CC(C)COP(=O)(OCC(C)C)OCC(C)C,"InChI=1S/C12H27O4P/c1-10(2)7-14-17(13,15-8-11(3)4)16-9-12(5)6/h10-12H,7-9H2,1-6H3",5.31,8.01 ,0.15%
