NAME,INCHKEY,SMILES,Experimental Retention Time,XGBOOST,RANDOM FOREST,BRNN,LIGHTGBM,KERAS,,XGBOOST,BRNN,RANDOM FOREST,LIGHTGBM,KERAS
2'-Deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,C1C(C(OC1N2C=CC(=NC2=O)N)CO)O,5.87,5.32,5.39,3.91,5.08,5.53,,0.55,0.47,1.96,0.79,0.34
2'-Deoxyguanosine 3'-monophosphate,QQMSZHORHNORLP-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)OP(=O)(O)O,9.43,9.16,9.15,8.71,9.18,9.81,,0.27,0.28,0.72,0.25,0.37
2'-Deoxyguanosine 5'-monophosphate,LTFMZDNNPPEQNG-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O,9.25,9.24,9.05,8.83,9.25,9.72,,0.01,0.20,0.42,0.01,0.47
2'-O-Methyl-5-methylcytidine,CNVRVGAACYEOQI-FDDDBJFASA-N,CC1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)OC,4.93,4.19,4.46,3.61,4.24,4.57,,0.74,0.47,1.32,0.69,0.36
2'-O-Methyl-5-methyluridine,YHRRPHCORALGKQ-FDDDBJFASA-N,CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)OC,1.75,2.33,2.28,3.34,2.23,2.28,,0.58,0.53,1.59,0.48,0.54
2'-O-Methyladenosine,FPUGCISOLXNPPC-IOSLPCCCSA-N,COC1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)O,2.60,3.35,3.34,3.79,3.41,3.06,,0.75,0.74,1.19,0.81,0.46
2'-O-Methylcytidine,RFCQJGFZUQFYRF-ZOQUXTDFSA-N,COC1C(C(OC1N2C=CC(=NC2=O)N)CO)O,5.02,5.28,5.05,4.00,5.44,5.37,,0.26,0.02,1.02,0.42,0.35
2'-O-Methylguanosine,OVYNGSFVYRPRCG-KQYNXXCUSA-N,COC1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)O,5.72,5.70,5.61,5.48,5.82,6.46,,0.02,0.11,0.24,0.09,0.74
2'-O-Methylinosine,HPHXOIULGYVAKW-IOSLPCCCSA-N,COC1C(C(OC1N2C=NC3=C2NC=NC3=O)CO)O,4.06,4.01,3.89,3.84,4.20,3.86,,0.05,0.18,0.22,0.14,0.21
2'-O-Methyluridine,SXUXMRMBWZCMEN-ZOQUXTDFSA-N,COC1C(C(OC1N2C=CC(=O)NC2=O)CO)O,2.24,2.57,2.49,3.74,2.43,2.63,,0.33,0.24,1.50,0.18,0.39
"2,3-Butanediol",OWBTYPJTUOEWEK-UHFFFAOYSA-N,CC(C(C)O)O,3.34,3.58,3.47,3.22,3.92,4.40,,0.24,0.14,0.12,0.58,1.07
"2,3-Dideoxycytidine",WREGKURFCTUGRC-POYBYMJQSA-N,C1CC(OC1CO)N2C=CC(=NC2=O)N,4.54,3.85,4.06,3.09,3.74,4.11,,0.69,0.48,1.45,0.80,0.43
"2,3-Dideoxyuridine",BTOTXLJHDSNXMW-POYBYMJQSA-N,C1CC(OC1CO)N2C=CC(=O)NC2=O,1.73,2.25,2.17,3.21,2.63,2.24,,0.52,0.44,1.48,0.90,0.51
"2,6-Diaminopimelic acid",GMKMEZVLHJARHF-UHFFFAOYSA-N,C(CC(C(=O)O)N)CC(C(=O)O)N,9.88,9.68,9.66,9.89,9.84,9.87,,0.20,0.21,0.01,0.03,0.01
"2,8-Quinolinediol",ZXZKYYHTWHJHFT-UHFFFAOYSA-N,C1=CC2=C(C(=C1)O)NC(=O)C=C2,1.53,1.59,1.68,1.90,1.47,2.26,,0.06,0.16,0.37,0.06,0.73
2-(2-Aminoethyl)pyridine,XPQIPUZPSLAZDV-UHFFFAOYSA-N,C1=CC=NC(=C1)CCN,5.52,5.42,5.36,5.23,5.34,6.08,,0.10,0.17,0.29,0.18,0.56
2-alpha-Mannobiose,HIWPGCMGAMJNRG-VXSGSMIHSA-N,C(C1C(C(C(C(O1)OC2C(C(C(OC2O)CO)O)O)O)O)O)O,9.47,8.73,9.01,8.40,8.74,9.04,,0.74,0.47,1.07,0.73,0.43
2-Amino-3-methoxybenzoic acid,SXOPCLUOUFQBJV-UHFFFAOYSA-N,COC1=CC=CC(=C1N)C(=O)O,1.27,1.44,1.75,4.18,1.51,2.94,,0.17,0.48,2.91,0.24,1.67
2-Aminoacetophenone,HEQOJEGTZCTHCF-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)CN,1.08,2.67,2.79,3.17,2.43,2.86,,1.59,1.71,2.09,1.35,1.78
2-Aminoethanethiol,UFULAYFCSOUIOV-UHFFFAOYSA-N,C(C[S-])[NH3+],2.05,3.93,3.47,5.45,3.62,3.76,,1.88,1.42,3.40,1.57,1.71
2-Aminoethylphosphonic acid,QQVDJLLNRSOCEL-UHFFFAOYSA-N,C(CP(=O)(O)O)N,9.39,9.47,9.02,9.45,9.49,9.31,,0.08,0.37,0.06,0.10,0.08
2-Aminophenol,CDAWCLOXVUBKRW-UHFFFAOYSA-N,C1=CC=C(C(=C1)N)O,1.22,1.73,1.71,3.02,1.65,2.04,,0.51,0.49,1.81,0.43,0.82
2-Chloro-N6-cyclopentyladenosine,XSMYYYQVWPZWIZ-IDTAVKCVSA-N,C1CCC(C1)NC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)Cl,1.47,2.01,2.02,3.43,1.99,2.01,,0.54,0.54,1.95,0.52,0.54
2-Chloroadenosine,BIXYYZIIJIXVFW-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)Cl,2.69,3.45,3.45,3.91,2.89,2.83,,0.76,0.76,1.22,0.20,0.14
2-Deoxycytidine-5-monophosphoric acid,NCMVOABPESMRCP-SHYZEUOFSA-N,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,9.16,9.12,8.97,8.52,9.07,9.36,,0.04,0.19,0.63,0.09,0.20
2-Deoxyuridine,MXHRCPNRJAMMIM-SHYZEUOFSA-N,C1C(C(OC1N2C=CC(=O)NC2=O)CO)O,2.96,2.80,2.92,3.65,2.78,2.51,,0.16,0.04,0.69,0.18,0.46
2-Hexenal,MBDOYVRWFFCFHM-SNAWJCMRSA-N,CCCC=CC=O,1.39,3.21,3.25,3.06,3.33,4.67,,1.82,1.86,1.66,1.94,3.28
2-Hydroxyacetophenone,ZWVHTXAYIKBMEE-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)CO,4.36,3.75,3.77,2.32,3.65,3.90,,0.61,0.59,2.05,0.71,0.46
2-Hydroxychalcone,UDOOPSJCRMKSGL-ZHACJKMWSA-N,C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2O,1.01,1.23,1.23,1.55,1.27,1.86,,0.22,0.21,0.54,0.26,0.85
2-Hydroxyquinoline,LISFMEBWQUVKPJ-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC(=O)N2,1.51,1.68,1.53,2.61,1.73,2.14,,0.17,0.02,1.10,0.22,0.62
2-Methoxy-4-vinylphenol,YOMSJEATGXXYPX-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=C)O,8.71,6.19,5.55,2.42,6.15,4.01,,2.52,3.16,6.28,2.56,4.70
2-Phenylacetamide,LSBDFXRDZJMBSC-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(=O)N,1.26,2.02,2.18,2.53,2.15,2.90,,0.76,0.92,1.27,0.89,1.64
2-Propanamidoacetic acid,WOMAZEJKVZLLFE-UHFFFAOYSA-N,CCC(=O)NCC(=O)O,5.37,4.85,5.06,4.33,5.35,5.64,,0.52,0.32,1.04,0.03,0.27
2-Pyridone,UBQKCCHYAOITMY-UHFFFAOYSA-N,C1=CC(=O)NC=C1,2.05,2.23,2.34,3.08,2.36,4.90,,0.18,0.29,1.03,0.31,2.85
2-Thiocytidine,RHFUOMFWUGWKKO-XVFCMESISA-N,C1=CN(C(=S)N=C1N)C2C(C(C(O2)CO)O)O,5.33,4.72,4.91,4.45,5.18,4.59,,0.61,0.42,0.88,0.15,0.73
2-Thiouridine,GJTBSTBJLVYKAU-XVFCMESISA-N,C1=CN(C(=S)NC1=O)C2C(C(C(O2)CO)O)O,2.48,2.93,2.79,3.83,2.83,1.97,,0.45,0.31,1.35,0.35,0.51
"3',5'-Cyclic dAMP",MKMZAENVDZADSW-RRKCRQDMSA-N,C1C2C(COP(=O)(O2)O)OC1N3C=NC4=C3N=CN=C4N,7.29,6.85,6.93,7.01,6.62,7.24,,0.44,0.35,0.28,0.66,0.04
3'-O-Methylcytidine,RZJCFLSPBDUNDH-ZOQUXTDFSA-N,COC1C(OC(C1O)N2C=CC(=NC2=O)N)CO,5.09,5.21,5.17,3.96,5.28,5.31,,0.12,0.08,1.13,0.19,0.22
3'-O-Methylguanosine,UYARPHAXAJAZLU-KQYNXXCUSA-N,COC1C(OC(C1O)N2C=NC3=C2NC(=NC3=O)N)CO,5.80,5.80,5.65,5.44,5.87,6.31,,0.00,0.15,0.36,0.07,0.51
3'-O-Methyluridine,YKNATSNMFLEFRB-ZOQUXTDFSA-N,COC1C(OC(C1O)N2C=CC(=O)NC2=O)CO,2.42,2.63,2.58,3.68,2.36,2.28,,0.21,0.16,1.26,0.06,0.13
"3,4-Dihydroxymandelic acid",RGHMISIYKIHAJW-UHFFFAOYSA-N,C1=CC(=C(C=C1C(C(=O)O)O)O)O,2.30,3.03,3.00,3.72,2.69,4.34,,0.73,0.71,1.42,0.39,2.04
"3,4-Dihydroxyphenylalanine",WTDRDQBEARUVNC-UHFFFAOYSA-N,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,8.31,7.90,7.99,7.82,7.67,7.99,,0.41,0.32,0.49,0.64,0.32
"3,4-Dimethoxybenzaldehyde",WJUFSDZVCOTFON-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C=O)OC,1.08,1.34,1.55,1.83,0.83,3.17,,0.26,0.47,0.76,0.25,2.09
"3,5-Dihydroxyphenylglycine",IFXDBKRFNXPGNO-UHFFFAOYSA-N,C1=C(C=C(C=C1O)O)NCC(=O)O,8.18,6.56,6.46,5.72,6.25,6.64,,1.62,1.72,2.47,1.94,1.55
3-(1-Pyrazolyl)-alanine,PIGOPELHGLPKLL-YFKPBYRVSA-N,C1=CN(N=C1)CC(C(=O)[O-])[NH3+],7.54,7.83,7.54,7.11,7.73,7.79,,0.29,0.00,0.44,0.19,0.25
3-Amino-3-(4-hydroxyphenyl)propionic acid,JYPHNHPXFNEZBR-UHFFFAOYSA-N,C1=CC(=CC=C1C(CC(=O)O)N)O,7.42,6.93,6.94,6.94,6.44,7.28,,0.49,0.48,0.48,0.98,0.14
3-Aminotyrosine,POGSZHUEECCEAP-UHFFFAOYSA-N,C1=CC(=C(C=C1CC(C(=O)O)N)N)O,8.06,8.47,8.03,8.81,7.99,8.65,,0.41,0.03,0.75,0.07,0.59
3-beta-Cholest-5-en-3-yl [2-(dimethylamino)ethyl]carbamate,HIHOWBSBBDRPDW-PTHRTHQKSA-N,CC(CCCC(C)C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC(=O)NCCN(C)C)C)C,2.34,2.74,2.68,1.89,2.85,1.67,,0.40,0.34,0.45,0.51,0.67
3-Chlorotyrosine,ACWBBAGYTKWBCD-ZETCQYMHSA-N,C1=CC(=C(C=C1CC(C(=O)O)N)Cl)O,7.13,6.97,7.07,6.82,7.36,6.94,,0.16,0.06,0.32,0.23,0.19
3-Deoxyuridine,QOXJRLADYHZRGC-SHYZEUOFSA-N,C1C(OC(C1O)N2C=CC(=O)NC2=O)CO,2.87,2.76,2.85,4.13,2.63,3.27,,0.11,0.01,1.26,0.24,0.41
3-Hydroxyanthranilic acid,WJXSWCUQABXPFS-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)N)C(=O)O,1.48,2.24,2.25,4.66,2.35,3.45,,0.76,0.77,3.18,0.87,1.97
3-Hydroxybenzaldehyde,IAVREABSGIHHMO-UHFFFAOYSA-N,C1=CC(=CC(=C1)O)C=O,1.18,1.30,1.35,1.93,1.45,3.04,,0.12,0.17,0.76,0.27,1.86
3-Hydroxykynurenine,VCKPUUFAIGNJHC-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)[O-])[NH3+],7.35,8.26,7.69,8.27,7.94,8.36,,0.91,0.33,0.91,0.58,1.00
3-Hydroxyphenylalanine,JZKXXXDKRQWDET-UHFFFAOYSA-N,C1=CC(=CC(=C1)O)CC(C(=O)[O-])[NH3+],7.44,7.53,7.29,6.31,7.25,6.63,,0.09,0.15,1.13,0.20,0.81
3-Hydroxysebacic acid,OQYZCCKCJQWHIE-UHFFFAOYSA-N,C(CCCC(=O)O)CCC(CC(=O)O)O,2.55,2.45,2.74,4.42,2.74,3.09,,0.10,0.19,1.88,0.19,0.54
3-Indoleacetic acid,SEOVTRFCIGRIMH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,1.33,2.06,1.45,2.87,1.94,2.87,,0.73,0.12,1.54,0.61,1.54
3-Indoleacetonitrile,DMCPFOBLJMLSNX-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC#N,8.02,5.58,5.31,2.52,5.89,4.41,,2.44,2.72,5.51,2.14,3.61
3-Indolepropionic acid,GOLXRNDWAUTYKT-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CCC(=O)O,1.28,1.79,1.41,3.06,1.92,2.42,,0.51,0.14,1.78,0.64,1.15
3-Methylcrotonylglycine,PFWQSHXPNKRLIV-UHFFFAOYSA-N,CC(=CC(=O)NCC(=O)O)C,2.95,2.95,3.17,2.99,2.83,3.27,,0.00,0.22,0.04,0.12,0.32
3-Methylcytidine,RDPUKVRQKWBSPK-ZOQUXTDFSA-N,CN1C(=N)C=CN(C1=O)C2C(C(C(O2)CO)O)O,6.99,5.06,5.80,4.74,5.38,6.13,,1.93,1.19,2.25,1.61,0.86
3-Methylhistidine,JDHILDINMRGULE-LURJTMIESA-N,CN1C=NC=C1CC(C(=O)O)N,9.41,8.81,8.76,8.30,8.90,8.54,,0.60,0.65,1.11,0.51,0.87
3-Methyloxyindole,BBZCPUCZKLTAJQ-UHFFFAOYSA-N,CC1C2=CC=CC=C2NC1=O,1.07,1.30,1.39,1.99,1.33,3.09,,0.23,0.32,0.92,0.26,2.02
3-Methylthiopropylamine,KKYSBGWCYXYOHA-UHFFFAOYSA-N,CSCCCN,5.16,4.93,5.28,4.59,4.89,5.08,,0.23,0.12,0.57,0.27,0.08
3-Nitrotyrosine,FBTSQILOGYXGMD-LURJTMIESA-N,C1=CC(=C(C=C1CC(C(=O)O)N)[N+](=O)[O-])O,6.88,7.24,6.95,6.54,7.08,7.22,,0.36,0.07,0.34,0.21,0.34
3-Phosphonopropionic acid,NLBSQHGCGGFVJW-UHFFFAOYSA-N,C(CP(=O)(O)O)C(=O)O,8.59,8.88,8.33,7.94,9.16,8.80,,0.29,0.26,0.65,0.57,0.21
3-Pyridinemthanol,MVQVNTPHUGQQHK-UHFFFAOYSA-N,C1=CC(=CN=C1)CO,1.41,1.74,2.12,3.36,1.52,3.00,,0.33,0.70,1.95,0.11,1.59
"4,5,7-Trihydroxyisoflavone",TZBJGXHYKVUXJN-UHFFFAOYSA-N,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,1.27,1.19,1.39,1.21,1.22,1.04,,0.08,0.12,0.05,0.05,0.22
4-Acetylbutyric acid,MGTZCLMLSSAXLD-UHFFFAOYSA-N,CC(=O)CCCC(=O)O,1.24,1.07,1.94,2.42,1.37,3.09,,0.17,0.70,1.18,0.13,1.85
4-Hydroxy-4-methyl-2-pentanone,SWXVUIWOUIDPGS-UHFFFAOYSA-N,CC(=O)CC(C)(C)O,4.88,4.77,4.60,2.10,4.71,4.54,,0.11,0.28,2.78,0.17,0.34
4-Hydroxy-6-methyl-2-pyrone,NSYSSMYQPLSPOD-UHFFFAOYSA-N,CC1=CC(=CC(=O)O1)O,1.47,1.46,1.64,2.09,1.41,2.11,,0.01,0.17,0.62,0.06,0.64
4-Hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C1=CC(=CC=C1C=O)O,1.18,1.56,1.59,1.87,1.80,3.15,,0.38,0.41,0.69,0.62,1.98
4-Hydroxyhippuric acid,ZMHLUFWWWPBTIU-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)NCC(=O)O)O,5.86,4.81,5.06,3.87,5.35,5.53,,1.05,0.80,1.99,0.52,0.33
4-Hydroxymandelonitrile,HOOOPXDSCKBLFG-UHFFFAOYSA-N,C1=CC(=CC=C1C(C#N)O)O,2.63,2.51,2.70,2.07,2.87,3.49,,0.12,0.08,0.56,0.24,0.86
4-Hydroxyphenylethanol,PMRFBLQVGJNGLU-UHFFFAOYSA-N,CC(C1=CC=C(C=C1)O)O,8.03,6.13,5.66,2.40,6.26,4.65,,1.90,2.37,5.62,1.77,3.38
4-Hydroxyphenylpyruvic acid,KKADPXVIOXHVKN-UHFFFAOYSA-N,C1=CC(=CC=C1CC(=O)C(=O)O)O,1.22,2.10,2.04,2.16,2.22,2.94,,0.88,0.82,0.94,1.00,1.72
4-Hydroxyquinoline,PMZDQRJGMBOQBF-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C=CN2,1.69,1.81,1.65,2.35,1.50,2.48,,0.12,0.04,0.66,0.19,0.78
4-Methyl-5-thiazoleethanol,BKAWJIRCKVUVED-UHFFFAOYSA-N,CC1=C(SC=N1)CCO,1.21,1.11,1.75,2.65,1.14,1.33,,0.10,0.54,1.44,0.07,0.12
4-Methylumbelliferone,HSHNITRMYYLLCV-UHFFFAOYSA-N,CC1=CC(=O)OC2=C1C=CC(=C2)O,1.22,1.36,1.35,1.44,1.58,1.57,,0.14,0.13,0.22,0.36,0.36
4-Methylumbelliferyl acetate,HXVZGASCDAGAPS-UHFFFAOYSA-N,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,1.06,0.90,1.14,0.89,1.22,1.46,,0.16,0.08,0.18,0.15,0.40
4-Nitroquinoline-N-oxide,YHQDZJICGQWFHK-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CC=[N+]2[O-])[N+](=O)[O-],1.14,1.37,1.67,1.40,1.17,1.59,,0.23,0.53,0.26,0.02,0.45
4-Quinolinecarboxylic acid,VQMSRUREDGBWKT-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CC=N2)C(=O)O,4.58,3.50,3.44,2.75,3.34,3.25,,1.08,1.14,1.83,1.23,1.33
4-Thiouridine,ZLOIGESWDJYCTF-XVFCMESISA-N,C1=CN(C(=O)NC1=S)C2C(C(C(O2)CO)O)O,2.27,3.05,2.89,4.47,3.00,3.07,,0.78,0.62,2.19,0.73,0.80
4-Trimethylammoniobutanoic acid,JHPNVNIEXXLNTR-UHFFFAOYSA-O,C[N+](C)(C)CCCC(=O)O,7.66,7.19,6.60,6.07,6.82,7.28,,0.47,1.06,1.59,0.84,0.38
5'-O-Methylthymidine,KTCKNHCDUKONFQ-DJLDLDEBSA-N,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COC)O,1.46,1.77,1.78,2.69,2.04,1.34,,0.31,0.32,1.22,0.58,0.12
"5,6-Dihydrouracil",OIVLITBTBDPEFK-UHFFFAOYSA-N,C1CNC(=O)NC1=O,1.77,1.75,2.22,2.15,1.97,2.98,,0.02,0.46,0.38,0.21,1.21
"5,6-Dimethylbenzimidazole",LJUQGASMPRMWIW-UHFFFAOYSA-N,CC1=CC2=C(C=C1C)N=CN2,1.82,2.16,1.99,2.83,2.10,2.25,,0.34,0.16,1.01,0.28,0.43
5-Aminoimidazole-4-carboxamide,DVNYTAVYBRSTGK-UHFFFAOYSA-N,C1=NC(=C(N1)C(=O)N)N,4.18,4.41,4.54,5.77,4.20,5.24,,0.23,0.36,1.60,0.02,1.06
5-AminosalicylicÂ acid,KBOPZPXVLCULAV-UHFFFAOYSA-N,C1=CC(=C(C=C1N)C(=O)O)O,3.89,3.33,3.46,4.89,3.53,3.83,,0.56,0.42,1.00,0.36,0.06
5-Fluro-2-pyrimidone,HPABFFGQPLJKBP-UHFFFAOYSA-N,C1=C(C=NC(=O)N1)F,1.77,1.95,2.27,2.36,2.08,2.69,,0.18,0.49,0.59,0.31,0.92
5-Flurocytosine,XRECTZIEBJDKEO-UHFFFAOYSA-N,C1=NC(=O)NC(=C1F)N,4.62,3.83,3.93,2.78,3.91,3.82,,0.79,0.69,1.84,0.71,0.80
5-Hydroxy-3-indoleacetic acid,DUUGKQCEGZLZNO-UHFFFAOYSA-N,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,1.78,2.20,1.88,2.77,1.69,2.58,,0.42,0.11,0.99,0.08,0.80
5-Hydroxymethylcytidine,NFEXJLMYXXIWPI-JXOAFFINSA-N,C1=C(C(=NC(=O)N1C2C(C(C(O2)CO)O)O)N)CO,7.54,6.97,6.95,5.57,6.90,7.26,,0.57,0.59,1.97,0.64,0.28
5-Hydroxymethylcytosine,RYVNIFSIEDRLSJ-UHFFFAOYSA-N,C1=NC(=O)NC(=C1CO)N,6.90,6.54,5.84,5.03,6.63,6.28,,0.36,1.06,1.88,0.27,0.63
5-Hydroxytryptophan,LDCYZAJDBXYCGN-UHFFFAOYSA-N,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)[O-])[NH3+],7.48,7.40,7.06,7.38,7.66,7.54,,0.08,0.42,0.10,0.18,0.06
5-Methoxypsoralen,BGEBZHIAGXMEMV-UHFFFAOYSA-N,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,1.07,1.06,1.18,1.37,1.27,1.74,,0.01,0.11,0.29,0.20,0.67
5-Methoxytryptamine,JTEJPPKMYBDEMY-UHFFFAOYSA-N,COC1=CC2=C(C=C1)NC=C2CCN,4.99,4.70,4.72,3.92,4.48,4.56,,0.29,0.28,1.07,0.51,0.43
5-Methoxytryptophol,QLWKTGDEPLRFAT-UHFFFAOYSA-N,COC1=CC2=C(C=C1)NC=C2CCO,1.18,1.52,1.41,2.31,1.63,1.66,,0.34,0.23,1.13,0.45,0.49
5-Methoxyuridine,ZXIATBNUWJBBGT-JXOAFFINSA-N,COC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,4.72,4.75,4.67,4.72,4.10,4.35,,0.03,0.05,0.00,0.61,0.36
5-Methyl-2-thiouridine,SNNBPMAXGYBMHM-JXOAFFINSA-N,CC1=CN(C(=S)NC1=O)C2C(C(C(O2)CO)O)O,1.98,3.14,2.99,3.53,2.59,1.96,,1.16,1.01,1.54,0.61,0.02
5-Methylcytidine,ZAYHVCMSTBRABG-JXOAFFINSA-N,CC1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6.39,6.03,6.21,4.53,5.72,6.24,,0.36,0.19,1.86,0.67,0.15
5-Methyluridine,DWRXFEITVBNRMK-JXOAFFINSA-N,CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,4.19,3.90,4.22,4.13,3.83,3.78,,0.29,0.03,0.06,0.36,0.41
5-Nonyloxytryptamine,YHSMSRREJYOGQJ-UHFFFAOYSA-N,CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN,3.40,3.43,3.41,2.88,3.36,3.19,,0.03,0.01,0.53,0.04,0.21
"6,7-Dihydroxycoumarin",ILEDWLMCKZNDJK-UHFFFAOYSA-N,C1=CC(=O)OC2=CC(=C(C=C21)O)O,1.47,1.16,1.62,1.31,1.01,1.80,,0.31,0.15,0.17,0.47,0.33
